draft_id,semester,subject_id,subject_code,subject_name,module_code,marks,category,type,difficulty,question_text,question_paper_year,exam_session,paper_set,paper_code,paper_pattern,source,source_file,part,original_question_no,keywords,verified,mapping_confidence,year_confidence,notes,source_review_note
sem3_qp_0011,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,05,5,Short Note,short_note,easy,Discharge and Acquittal.,2025,Apr-2025,SPPU Apr 2025,PD-1988 / [6414]-101,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q11,"discharge, acquittal",false,high,high,,
sem3_qp_0012,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,03,5,Short Note,short_note,easy,When search warrant may be issued?,2025,Apr-2025,SPPU Apr 2025,PD-1988 / [6414]-101,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q12,search warrant,false,high,high,,
sem3_qp_0013,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,03,5,Short Note,short_note,easy,Legal aid to accused person.,2025,Apr-2025,SPPU Apr 2025,PD-1988 / [6414]-101,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q13,"legal aid, accused",false,high,high,,
sem3_qp_0014,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,04,15,Long Question,analytical,hard,"Analyze the provisions relating to maintenance of public order and tranquility under Bharatiya Nagarik Suraksha Sanhita, 2023.",2024,Nov-2024,SPPU Nov 2024,PC-4427 / [6364]-171,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q1,"public order, tranquility",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0015,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,05,15,Long Question,analytical,hard,"Discuss the principles of autrefois acquit and autrefois convict in India, their relationship with Article 20 of the Constitution, and their implications in criminal law.",2024,Nov-2024,SPPU Nov 2024,PC-4427 / [6364]-171,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q2,"autrefois acquit, autrefois convict, Article 20",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0016,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,07,15,Long Question,analytical,hard,"Discuss the role of institutions in rehabilitating children in India, their types, standards, inspection, and challenges under Juvenile Justice (Care and Protection of Children) Act, 2015.",2024,Nov-2024,SPPU Nov 2024,PC-4427 / [6364]-171,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q3,"juvenile justice, rehabilitation",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0017,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,05,10,Long Question,analytical,medium,Discuss trial of warrant cases by magistrate instituted on police report.,2024,Nov-2024,SPPU Nov 2024,PC-4427 / [6364]-171,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q4,"warrant case, magistrate, police report",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0018,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,03,5,Short Note,short_note,easy,FIR and Complaint.,2024,Nov-2024,SPPU Nov 2024,PC-4427 / [6364]-171,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q5,"FIR, complaint",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0019,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,05,5,Short Note,short_note,easy,Disposal of property at conclusion of trial.,2024,Nov-2024,SPPU Nov 2024,PC-4427 / [6364]-171,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q6,disposal of property,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0020,sem3,evidence_law,LCC 0702,Law of Evidence,02,15,Long Question,analytical,hard,"Discuss in detail the provisions of Bharatiya Sakshya Adhiniyam, 2023 relating to relevancy and admissibility of facts.",2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q1,"relevancy, admissibility",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0021,sem3,evidence_law,LCC 0702,Law of Evidence,02,15,Long Question,analytical,hard,Hearsay evidence is not admissible. Discuss this statement along with exceptions.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q2,hearsay evidence,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0022,sem3,evidence_law,LCC 0702,Law of Evidence,02,15,Long Question,analytical,hard,Admissions are the statements generally proved against the person making them. Discuss.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q3,admissions,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0023,sem3,evidence_law,LCC 0702,Law of Evidence,04,15,Long Question,analytical,hard,Discuss in detail the law regarding the admissibility and relevancy of electronic records.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q4,electronic records,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0024,sem3,evidence_law,LCC 0702,Law of Evidence,02,10,Long Question,analytical,medium,Discuss in detail relevancy of character in judicial proceedings.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q5,character evidence,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0025,sem3,evidence_law,LCC 0702,Law of Evidence,04,10,Long Question,analytical,medium,Explain the provisions relating to proof of handwriting.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q6,handwriting proof,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0026,sem3,evidence_law,LCC 0702,Law of Evidence,01,10,Long Question,analytical,medium,Explain the law relating to circumstantial evidence in the light of illustrative cases.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q7,circumstantial evidence,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0027,sem3,evidence_law,LCC 0702,Law of Evidence,02,10,Long Question,analytical,medium,What is confession? Discuss the circumstances in which confession becomes admissible.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q8,confession,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0028,sem3,evidence_law,LCC 0702,Law of Evidence,06,10,Long Question,analytical,medium,What is presumption? Discuss in detail various presumptions provided in Bharatiya Sakshya Adhiniyam.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q9,presumption,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0029,sem3,evidence_law,LCC 0702,Law of Evidence,01,5,Short Note,short_note,easy,Direct evidence and circumstantial evidence.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q10,"direct evidence, circumstantial evidence",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0030,sem3,evidence_law,LCC 0702,Law of Evidence,02,5,Short Note,short_note,easy,Admission and confession.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q11,"admission, confession",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0031,sem3,evidence_law,LCC 0702,Law of Evidence,04,5,Short Note,short_note,easy,Electronic record.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q12,electronic record,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0032,sem3,evidence_law,LCC 0702,Law of Evidence,06,15,Long Question,analytical,hard,What is meant by burden of proof? Explain the provisions of Bharatiya Sakshya Adhiniyam relating to burden of proof.,2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q1,burden of proof,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0033,sem3,evidence_law,LCC 0702,Law of Evidence,03,15,Long Question,analytical,hard,Discuss the cases in which statements by persons who cannot be called as witnesses are relevant.,2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q2,statements by persons who cannot be called,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0034,sem3,evidence_law,LCC 0702,Law of Evidence,03,15,Long Question,analytical,hard,Explain the concept of opinion of experts and state its evidentiary value.,2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q3,expert opinion,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0035,sem3,evidence_law,LCC 0702,Law of Evidence,05,10,Long Question,analytical,medium,Explain the law relating to examination of witnesses.,2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q4,examination of witnesses,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0036,sem3,evidence_law,LCC 0702,Law of Evidence,01,10,Long Question,analytical,medium,Discuss in detail the concept of circumstantial evidence and state its evidentiary value.,2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q5,circumstantial evidence,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0037,sem3,evidence_law,LCC 0702,Law of Evidence,04,10,Long Question,analytical,medium,Discuss the rules relating to exclusion of oral by documentary evidence.,2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q6,"oral evidence, documentary evidence",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0038,sem3,evidence_law,LCC 0702,Law of Evidence,05,10,Long Question,analytical,medium,Explain the law relating to competency of witnesses.,2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q7,competency of witnesses,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0039,sem3,evidence_law,LCC 0702,Law of Evidence,01,10,Long Question,analytical,medium,"Define evidence and discuss in detail the concept of proved, not proved and disproved.",2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q8,"proved, not proved, disproved",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0040,sem3,evidence_law,LCC 0702,Law of Evidence,08,5,Short Note,short_note,easy,Estoppel.,2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q9,estoppel,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0041,sem3,evidence_law,LCC 0702,Law of Evidence,07,5,Short Note,short_note,easy,Leading questions.,2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q10,leading questions,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0042,sem3,evidence_law,LCC 0702,Law of Evidence,05,5,Short Note,short_note,easy,Hostile witness.,2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q11,hostile witness,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0043,sem3,interpretation_statute,LCC 0703,Interpretation of Statute,01,15,Long Question,analytical,hard,Explain in detail the object and scope of the General Clauses Act and its relevance in interpretation of statutes.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q1,General Clauses Act,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0044,sem3,interpretation_statute,LCC 0703,Interpretation of Statute,02,15,Long Question,analytical,hard,What is meant by literal rule of interpretation? Explain its relation to the golden rule and mischief rule.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q2,"literal rule, golden rule, mischief rule",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0045,sem3,interpretation_statute,LCC 0703,Interpretation of Statute,04,15,Long Question,analytical,hard,Explain in detail the meaning of jurisdiction and different presumptions in interpretation.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q3,"jurisdiction, presumptions",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0046,sem3,interpretation_statute,LCC 0703,Interpretation of Statute,03,15,Long Question,analytical,hard,What is the difference between internal aids of interpretation and external aids of interpretation?,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q4,"internal aids, external aids",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0047,sem3,interpretation_statute,LCC 0703,Interpretation of Statute,07,10,Long Question,analytical,medium,Explain the difference between express repeal and implied repeal with relevant examples.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q5,"express repeal, implied repeal",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0048,sem3,interpretation_statute,LCC 0703,Interpretation of Statute,06,10,Long Question,analytical,medium,What is meant by taxing and penal statutes? Explain rules for interpreting the same.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q6,"taxing statute, penal statute",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0049,sem3,interpretation_statute,LCC 0703,Interpretation of Statute,05,10,Long Question,analytical,medium,Critically evaluate various modes of interpretation of the Constitution.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q7,constitutional interpretation,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0050,sem3,interpretation_statute,LCC 0703,Interpretation of Statute,07,10,Long Question,analytical,medium,"Explain prospective, retrospective and retroactive application of legislation.",2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q8,"prospective, retrospective, retroactive",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0051,sem3,interpretation_statute,LCC 0703,Interpretation of Statute,06,5,Short Note,short_note,easy,Strict and liberal interpretation.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q9,"strict interpretation, liberal interpretation",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0052,sem3,interpretation_statute,LCC 0703,Interpretation of Statute,02,5,Short Note,short_note,easy,Ejusdem generis.,2025,Apr-2025,SPPU Apr 2025,,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q10,ejusdem generis,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0053,sem3,interpretation_statute,LCC 0703,Interpretation of Statute,01,15,Long Question,analytical,hard,What is the relevance and importance of interpretation of statutes to the legal system?,2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q1,importance of interpretation,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0054,sem3,interpretation_statute,LCC 0703,Interpretation of Statute,02,15,Long Question,analytical,hard,What is the Golden Rule of interpretation? How is it different from the Mischief Rule?,2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q2,"golden rule, mischief rule",false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0055,sem3,interpretation_statute,LCC 0703,Interpretation of Statute,01,15,Long Question,analytical,hard,Explain different types of statutes with relevant examples of each of them.,2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q3,types of statutes,false,medium,high,OCR extracted from scanned paper; review wording,
sem3_qp_0056,sem3,interpretation_statute,LCC 0703,Interpretation of Statute,04,10,Long Question,analytical,medium,Explain various presumptions used in interpretation of statutes.,2024,Nov-2024,SPPU Nov 2024,,2023 Pattern,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,Nov-2024 | 3rdsem_Nov.-2024_(Pattern-2023_(704_Query)_compressed.pdf,A/B/C,Q4,presumptions,false,medium,high,OCR extracted from scanned paper; review wording,
